gRNA_id,gene,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3
gRNA_CDK7_targ_40,CDK7,2898.0,3697.0,6020.0,1260.0,4022.0,7147.0,668.0,132.0,27.0,346.0,66.0,91.0,1902.0,2555.0,2175.0,4046.0,2730.0,1073.0,236.0,932.0,1263.0,1701.0,1433.0,1487.0
gRNA_CDK7_targ_41,CDK7,5253.0,5678.0,8019.0,12767.0,11182.0,9393.0,38024.0,1017.0,179.0,194.0,1187.0,3679.0,3800.0,5683.0,7504.0,11322.0,4174.0,2709.0,470.0,5588.0,5680.0,3592.0,4622.0,2833.0
gRNA_CDK7_targ_42,CDK7,1966.0,3301.0,2617.0,6194.0,7392.0,2488.0,59.0,8.0,13.0,260.0,53.0,213.0,1560.0,966.0,2802.0,2110.0,784.0,1052.0,63.0,179.0,784.0,383.0,3661.0,1621.0
gRNA_CDK7_targ_43,CDK7,2310.0,2612.0,4543.0,7374.0,4742.0,5389.0,167.0,173.0,20.0,15.0,59.0,553.0,1149.0,1752.0,1009.0,2305.0,558.0,791.0,39.0,196.0,552.0,923.0,4010.0,2983.0
gRNA_CDK7_targ_44,CDK7,1384.0,1579.0,5897.0,2870.0,6660.0,4424.0,580.0,35.0,8927.0,357.0,501.0,5830.0,3536.0,1056.0,3157.0,5619.0,647.0,451.0,71.0,1096.0,307.0,815.0,2967.0,1563.0
gRNA_CDK7_targ_45,CDK7,1904.0,2133.0,5376.0,5398.0,4260.0,3818.0,180.0,24.0,83.0,234.0,1336.0,1342.0,723.0,1226.0,860.0,2740.0,2186.0,283.0,78.0,139.0,802.0,997.0,2634.0,1307.0
gRNA_CDK7_targ_46,CDK7,3122.0,2133.0,3307.0,6997.0,2540.0,4073.0,214.0,396.0,272.0,75.0,630.0,27.0,1794.0,1733.0,1907.0,1881.0,1404.0,1154.0,140.0,818.0,1727.0,2526.0,1344.0,1170.0
gRNA_CDK7_targ_47,CDK7,145.0,43.0,114.0,14.0,246.0,332.0,13.0,2.0,9.0,4.0,22.0,26.0,2.0,34.0,5.0,18.0,62.0,19.0,10.0,18.0,147.0,23.0,101.0,959.0
gRNA_CDK7_targ_48,CDK7,74.0,3.0,428.0,346.0,475.0,162.0,3.0,2.0,16.0,40.0,10.0,93.0,2.0,3.0,122.0,4.0,246.0,260.0,13.0,29.0,796.0,37.0,33.0,16.0
gRNA_CDK7_targ_49,CDK7,213.0,24.0,720.0,338.0,1153.0,1010.0,1681.0,15.0,16.0,8.0,4314.0,204.0,147.0,10.0,10387.0,272.0,27.0,555.0,33.0,25.0,1148.0,733.0,167.0,4263.0
gRNA_CDK7_targ_50,CDK7,2975.0,3976.0,1954.0,3807.0,4770.0,5840.0,324.0,116.0,22.0,26.0,906.0,2017.0,861.0,848.0,4174.0,1502.0,290.0,114.0,37.0,336.0,854.0,852.0,512.0,4356.0
gRNA_CDK7_targ_51,CDK7,2787.0,1370.0,2168.0,1522.0,8856.0,2478.0,349.0,36.0,16.0,91.0,7712.0,1220.0,477.0,412.0,4805.0,1229.0,577.0,201.0,537.0,161.0,2162.0,380.0,155.0,3555.0
gRNA_CDK7_targ_52,CDK7,1260.0,1767.0,819.0,3393.0,5500.0,2358.0,76.0,15.0,29.0,559.0,70.0,243.0,349.0,256.0,870.0,594.0,1391.0,800.0,68.0,571.0,2717.0,106.0,413.0,7458.0
gRNA_CDK7_targ_53,CDK7,38.0,433.0,57.0,10.0,1627.0,257.0,10.0,3.0,12.0,1.0,1434.0,10.0,189.0,149.0,61.0,20.0,506.0,3.0,253.0,33.0,2446.0,32.0,15.0,491.0
gRNA_CDK7_targ_54,CDK7,2416.0,71.0,1186.0,1659.0,1711.0,3669.0,74.0,30.0,26.0,23.0,7280.0,227.0,2182.0,1788.0,447.0,3589.0,2481.0,743.0,314.0,1859.0,9270.0,4647.0,3523.0,5187.0
gRNA_CDK7_targ_55,CDK7,1625.0,3909.0,5744.0,5406.0,4868.0,3519.0,1497.0,83.0,20.0,10.0,6045.0,1827.0,1760.0,1291.0,6098.0,3822.0,3271.0,1093.0,370.0,1076.0,42.0,933.0,1369.0,2469.0
gRNA_CDK7_targ_56,CDK7,2662.0,2428.0,5325.0,3605.0,6070.0,3003.0,21113.0,722.0,312.0,127.0,221.0,2064.0,704.0,1266.0,3028.0,1390.0,559.0,516.0,1299.0,383.0,3321.0,692.0,1480.0,2421.0
gRNA_CDK7_targ_57,CDK7,1080.0,2546.0,2652.0,5685.0,3288.0,3120.0,1152.0,26.0,80.0,131.0,472.0,568.0,2811.0,2224.0,1091.0,4671.0,2739.0,878.0,342.0,1307.0,1220.0,1465.0,273.0,6575.0
gRNA_CDK7_targ_58,CDK7,5695.0,9324.0,1705.0,1313.0,3895.0,1384.0,105.0,21.0,22.0,65.0,5990.0,280.0,23.0,296.0,251.0,1589.0,380.0,1011.0,745.0,106.0,4317.0,591.0,165.0,1169.0
gRNA_CDK7_targ_59,CDK7,2232.0,3721.0,1705.0,1897.0,5934.0,2002.0,399.0,11213.0,298.0,21.0,7099.0,1416.0,2078.0,2262.0,2812.0,2847.0,10892.0,384.0,516.0,439.0,2399.0,1535.0,1561.0,7499.0
gRNA_CDK7_targ_60,CDK7,1630.0,287.0,2684.0,2859.0,1528.0,6385.0,89.0,335.0,19.0,30.0,3926.0,10977.0,3426.0,1764.0,4526.0,6708.0,2250.0,1882.0,124.0,1309.0,3446.0,3059.0,604.0,1782.0
gRNA_CDK7_targ_61,CDK7,1848.0,350.0,4782.0,1268.0,1186.0,2100.0,38.0,118.0,64.0,9.0,4362.0,49.0,157.0,992.0,388.0,1416.0,2402.0,634.0,334.0,1199.0,5292.0,149.0,153.0,2114.0
gRNA_CDK7_targ_62,CDK7,558.0,87.0,1927.0,4256.0,586.0,312.0,295.0,10.0,12.0,19.0,26.0,1680.0,34.0,814.0,3894.0,461.0,799.0,84.0,237.0,168.0,4026.0,382.0,2527.0,6727.0
gRNA_CDK7_targ_63,CDK7,697.0,54.0,2359.0,4239.0,348.0,3396.0,90.0,186.0,18.0,26.0,2165.0,24.0,955.0,679.0,4786.0,1964.0,3161.0,825.0,98.0,180.0,162.0,735.0,433.0,7155.0
gRNA_CDK7_targ_64,CDK7,857.0,1599.0,216.0,221.0,971.0,409.0,481.0,68.0,19.0,7.0,2197.0,15.0,75.0,142.0,239.0,1181.0,668.0,243.0,49.0,738.0,263.0,55.0,212.0,2738.0
gRNA_CDK7_targ_65,CDK7,515.0,389.0,4599.0,1595.0,931.0,776.0,202.0,7.0,15.0,15.0,16.0,5427.0,52.0,185.0,263.0,1105.0,1140.0,80.0,18.0,664.0,1810.0,56.0,28.0,245.0
gRNA_CDK7_targ_66,CDK7,507.0,2762.0,1652.0,4294.0,2136.0,3005.0,90.0,117.0,58.0,52.0,153.0,921.0,663.0,893.0,1188.0,1804.0,1578.0,537.0,52.0,1327.0,1862.0,1140.0,838.0,2165.0
gRNA_CDK7_targ_67,CDK7,678.0,1196.0,2953.0,2271.0,3499.0,685.0,445.0,833.0,6.0,3.0,1982.0,49.0,422.0,433.0,922.0,1096.0,29.0,398.0,50.0,18.0,266.0,139.0,732.0,1630.0
gRNA_CDK7_targ_68,CDK7,367.0,721.0,649.0,1918.0,1180.0,4994.0,3014.0,18.0,42.0,55.0,24.0,176.0,493.0,656.0,1025.0,1140.0,110.0,375.0,65.0,244.0,735.0,541.0,1146.0,1604.0
gRNA_CDK7_targ_69,CDK7,816.0,2128.0,2795.0,1484.0,1692.0,2244.0,76.0,7.0,8.0,37.0,38.0,222.0,701.0,272.0,233.0,1322.0,853.0,53.0,46.0,21.0,142.0,149.0,25.0,195.0
gRNA_CDK7_targ_70,CDK7,3212.0,1615.0,5855.0,3956.0,7049.0,4071.0,300.0,289.0,17.0,19.0,602.0,527.0,791.0,918.0,2628.0,3376.0,1919.0,669.0,102.0,487.0,121.0,1771.0,1220.0,317.0
gRNA_CDK7_targ_71,CDK7,2367.0,1086.0,2095.0,839.0,2089.0,2858.0,220.0,211.0,43.0,138.0,119.0,301.0,1572.0,839.0,760.0,3155.0,87.0,1169.0,56.0,1670.0,79.0,466.0,299.0,39.0
gRNA_CDK7_targ_72,CDK7,1125.0,316.0,1739.0,1575.0,2146.0,2832.0,329.0,176.0,149.0,180.0,1415.0,279.0,1436.0,761.0,2488.0,2694.0,1068.0,710.0,3061.0,525.0,2267.0,404781.0,7773.0,2873.0
gRNA_CDK7_targ_73,CDK7,671.0,839.0,4054.0,8906.0,1857.0,2837.0,217.0,86.0,55.0,52.0,11351.0,766.0,1066.0,1071.0,1048.0,2644.0,1416.0,532.0,69.0,101.0,850.0,842.0,1631.0,1135.0
gRNA_CDK7_targ_74,CDK7,2287.0,23.0,41.0,21.0,1788.0,211.0,8.0,4.0,11.0,590.0,106.0,18.0,12.0,213.0,642.0,350.0,195.0,21.0,8.0,16.0,1255.0,249.0,349.0,1337.0
gRNA_CDK7_targ_75,CDK7,1348.0,695.0,1064.0,3255.0,1948.0,2379.0,193.0,13.0,77.0,79.0,904.0,1474.0,202.0,651.0,2925.0,1243.0,1093.0,169.0,56.0,326.0,843.0,230.0,242.0,510.0
gRNA_CDK7_targ_76,CDK7,542.0,952.0,1977.0,10109.0,3748.0,1772.0,358.0,89.0,1913.0,62.0,3038.0,642.0,687.0,1350.0,1862.0,1362.0,1425.0,64.0,106.0,391.0,3053.0,2769.0,859.0,4762.0
gRNA_CDK7_targ_77,CDK7,3919.0,973.0,1998.0,1346.0,3997.0,4608.0,254.0,81.0,27.0,132.0,290.0,19.0,789.0,1283.0,3353.0,3707.0,1083.0,725.0,91.0,201.0,1137.0,613.0,232.0,391.0
gRNA_CDK7_targ_78,CDK7,3389.0,5827.0,7582.0,11931.0,3543.0,8720.0,1082.0,43.0,43.0,322.0,145.0,294.0,4776.0,5720.0,3608.0,12568.0,4446.0,2953.0,315.0,3341.0,1285.0,3439.0,1852.0,9929.0
gRNA_CDK7_targ_79,CDK7,7329.0,22123.0,19318.0,15814.0,10790.0,18657.0,28938.0,1521.0,355.0,330.0,1293.0,1524.0,20622.0,18354.0,23083.0,26229.0,16256.0,9225.0,1601.0,18320.0,11787.0,24685.0,12717.0,11080.0
gRNA_CDK7_targ_80,CDK7,2455.0,7031.0,8213.0,11029.0,13705.0,6675.0,4940.0,62.0,446.0,134.0,969.0,2839.0,9886.0,3964.0,8628.0,11154.0,2730.0,4660.0,602.0,4643.0,116.0,4108.0,8615.0,5972.0
gRNA_CDK7_targ_81,CDK7,7908.0,14136.0,6855.0,14573.0,7607.0,7916.0,1291.0,895.0,625.0,250.0,954.0,398.0,2869.0,5288.0,7223.0,5668.0,10617.0,3655.0,441.0,5706.0,9051.0,6819.0,5654.0,4544.0
gRNA_CDK7_targ_82,CDK7,4076.0,3307.0,2190.0,7576.0,5381.0,4953.0,150.0,348.0,21.0,119.0,919.0,313.0,3547.0,2252.0,3369.0,4553.0,674.0,2929.0,181.0,625.0,1210.0,2441.0,3101.0,1983.0
gRNA_CDK7_targ_83,CDK7,7819.0,3982.0,9047.0,4358.0,7366.0,3594.0,74.0,22.0,29.0,185.0,693.0,632.0,659.0,910.0,2235.0,3241.0,529.0,1303.0,70.0,426.0,1109.0,1280.0,694.0,1182.0
gRNA_CDK7_targ_84,CDK7,1318.0,977.0,2790.0,3437.0,1805.0,1554.0,152.0,378.0,17.0,3.0,395.0,787.0,611.0,544.0,312.0,1267.0,420.0,143.0,31.0,275.0,954.0,576.0,562.0,823.0
gRNA_CDK7_targ_85,CDK7,874.0,1947.0,3710.0,1721.0,6149.0,4033.0,177.0,728.0,609.0,50.0,941.0,389.0,1948.0,1387.0,3713.0,4217.0,3390.0,606.0,132.0,1135.0,1856.0,2626.0,1185.0,2753.0
gRNA_CDK7_targ_86,CDK7,710.0,753.0,851.0,268.0,1266.0,1502.0,20.0,4.0,4.0,3.0,4.0,227.0,89.0,367.0,492.0,455.0,338.0,159.0,23.0,64.0,119.0,354.0,88.0,428.0
gRNA_CDK7_targ_87,CDK7,1098.0,741.0,6258.0,3438.0,6763.0,2415.0,69.0,87.0,18.0,219.0,31.0,156.0,596.0,795.0,1375.0,1996.0,2625.0,778.0,113.0,162.0,610.0,180.0,667.0,1680.0
gRNA_CDK7_targ_88,CDK7,3760.0,635.0,730.0,3327.0,3396.0,1789.0,197.0,23.0,23.0,1257.0,7090.0,1296.0,477.0,210.0,2478.0,1184.0,2435.0,247.0,340.0,45.0,742.0,393.0,695.0,11891.0
gRNA_CDK7_targ_89,CDK7,5144.0,459.0,236.0,2794.0,5757.0,5744.0,260.0,55.0,166.0,48.0,2971.0,161.0,993.0,1420.0,922.0,3391.0,1739.0,595.0,871.0,261.0,1505.0,998.0,676.0,708.0
gRNA_CDK7_targ_90,CDK7,618.0,1417.0,116.0,253.0,867.0,81.0,307.0,21.0,48.0,226.0,3980.0,167.0,52.0,60.0,56.0,852.0,1625.0,59.0,58.0,427.0,1385.0,346.0,130.0,18279.0
gRNA_CDK7_targ_91,CDK7,140.0,31.0,135.0,1776.0,1437.0,916.0,38.0,25.0,22.0,83.0,9890.0,47.0,127.0,100.0,21758.0,570.0,2635.0,1847.0,613.0,268.0,1213.0,893.0,76.0,4262.0
gRNA_CDK7_targ_92,CDK7,9117.0,16083.0,4364.0,9659.0,14927.0,10735.0,8914.0,340.0,497.0,166.0,6479.0,38804.0,7422.0,4702.0,13599.0,10814.0,8580.0,3694.0,420.0,4631.0,7768.0,4647.0,3063.0,4032.0
gRNA_CDK7_targ_93,CDK7,405.0,2059.0,1817.0,2731.0,3964.0,5598.0,463.0,253.0,128.0,15.0,8295.0,99.0,1647.0,996.0,2733.0,5748.0,2902.0,841.0,235.0,407.0,905.0,1095.0,789.0,5629.0
gRNA_CDK7_targ_94,CDK7,4690.0,4359.0,5279.0,1684.0,4515.0,3399.0,210.0,48.0,90.0,13.0,322.0,928.0,1690.0,1391.0,1269.0,3870.0,2811.0,1157.0,91.0,255.0,2259.0,423.0,921.0,5916.0
gRNA_CDK7_targ_95,CDK7,10668.0,10400.0,13270.0,4967.0,9164.0,6923.0,1030.0,920.0,64676.0,146.0,381.0,172874.0,5985.0,3129.0,18520.0,16892.0,5452.0,3181.0,417.0,2191.0,1151.0,4018.0,6970.0,16534.0
gRNA_CDK7_targ_96,CDK7,1130.0,1381.0,2723.0,6667.0,5612.0,1566.0,1292.0,265.0,74.0,386.0,508.0,1164.0,281.0,540.0,1622.0,1368.0,675.0,818.0,49.0,178.0,39.0,171.0,214.0,387.0
gRNA_CDK7_targ_97,CDK7,5732.0,3648.0,3458.0,7530.0,3460.0,6770.0,880.0,139.0,16.0,236.0,53.0,333.0,1044.0,1950.0,1166.0,4322.0,1881.0,629.0,110.0,331.0,435.0,786.0,936.0,547.0
gRNA_CDK7_targ_98,CDK7,2125.0,3612.0,4565.0,7212.0,3039.0,1922.0,413.0,63.0,185.0,9.0,67.0,775.0,607.0,1501.0,2367.0,2117.0,638.0,504.0,85.0,397.0,401.0,342.0,1049.0,452.0
gRNA_CDK7_targ_99,CDK7,4666.0,2739.0,5314.0,7024.0,10090.0,5086.0,597.0,343.0,126.0,13.0,426.0,1272.0,1038.0,505.0,3534.0,3593.0,537.0,1243.0,59.0,391.0,916.0,467.0,898.0,2360.0
gRNA_CDK7_targ_100,CDK7,2646.0,8082.0,1569.0,9903.0,10413.0,6621.0,370.0,24.0,256.0,66.0,1529.0,314.0,3070.0,3581.0,2644.0,5036.0,3921.0,1328.0,148.0,1920.0,706.0,937.0,1102.0,5111.0
gRNA_CDK7_targ_101,CDK7,1928.0,3695.0,5298.0,15061.0,5279.0,5922.0,297.0,770.0,350.0,581.0,379.0,2226.0,2024.0,4103.0,6893.0,5274.0,2051.0,1161.0,107.0,1831.0,1529.0,2797.0,2518.0,6245.0
