gRNA_id,gene,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3
gRNA_CDK7_targ_28,CDK7,7069.0,6761.0,8190.0,6365.0,8275.0,2478.0,1469.0,1788.0,2686.0,125.0,4265.0,5486.0
gRNA_CDK7_targ_29,CDK7,3518.0,6602.0,16183.0,8629.0,11965.0,8915.0,891.0,3666.0,3279.0,2436.0,15781.0,7400.0
gRNA_CDK7_targ_30,CDK7,5620.0,9441.0,12785.0,10439.0,10648.0,3284.0,4232.0,1378.0,3803.0,10912.0,26602.0,8333.0
gRNA_CDK7_targ_31,CDK7,3236.0,3948.0,9074.0,5090.0,4209.0,5505.0,1924.0,1292.0,709.0,654.0,22197.0,2650.0
gRNA_CDK7_targ_32,CDK7,4164.0,6757.0,16114.0,2775.0,12210.0,3815.0,363.0,1460.0,2687.0,1809.0,10079.0,256.0
gRNA_CDK7_targ_33,CDK7,4306.0,9616.0,11695.0,4348.0,8063.0,4074.0,763.0,773.0,6885.0,1269.0,4544.0,1149.0
gRNA_CDK7_targ_34,CDK7,5680.0,5544.0,9427.0,4232.0,7781.0,4766.0,593.0,2283.0,2259.0,92.0,2891.0,738.0
gRNA_CDK7_targ_35,CDK7,11124.0,26157.0,32645.0,17854.0,27728.0,24421.0,3572.0,5869.0,12927.0,5345.0,39921.0,20875.0
gRNA_CDK7_targ_36,CDK7,4470.0,5907.0,12374.0,7514.0,4202.0,4219.0,1438.0,1757.0,1111.0,638.0,15164.0,1038.0
gRNA_CDK7_targ_37,CDK7,3506.0,5852.0,8425.0,3928.0,6806.0,2638.0,771.0,2576.0,2704.0,5356.0,59790.0,9649.0
gRNA_CDK7_targ_38,CDK7,1480.0,3925.0,8239.0,3638.0,4521.0,390.0,338.0,1298.0,1872.0,3277.0,13488.0,709.0
gRNA_CDK7_targ_39,CDK7,3687.0,5883.0,13155.0,8306.0,9163.0,3263.0,564.0,1506.0,5562.0,9185.0,7093.0,3938.0
gRNA_CDK7_targ_40,CDK7,5804.0,8644.0,13630.0,4557.0,6610.0,640.0,1404.0,3929.0,2516.0,130.0,24563.0,19203.0
gRNA_CDK7_targ_41,CDK7,7222.0,13013.0,20292.0,7030.0,21584.0,9036.0,1310.0,6862.0,3456.0,5078.0,30446.0,12229.0
gRNA_CDK7_targ_42,CDK7,4627.0,5427.0,15405.0,6758.0,6056.0,3076.0,469.0,2429.0,1990.0,1705.0,9825.0,8350.0
gRNA_CDK7_targ_43,CDK7,1669.0,4553.0,13051.0,6580.0,9541.0,1126.0,1089.0,958.0,859.0,950.0,1908.0,1261.0
gRNA_CDK7_targ_44,CDK7,1049.0,5048.0,14387.0,4209.0,3335.0,805.0,1925.0,493.0,3973.0,1149.0,6178.0,2156.0
gRNA_CDK7_targ_45,CDK7,2972.0,10478.0,8671.0,12432.0,10511.0,2079.0,2103.0,3291.0,2014.0,1120.0,12441.0,156.0
gRNA_CDK7_targ_46,CDK7,3002.0,5254.0,11077.0,4142.0,9167.0,4865.0,1551.0,5274.0,888.0,1987.0,8833.0,764.0
gRNA_CDK7_targ_47,CDK7,67.0,1567.0,702.0,83.0,535.0,3.0,3.0,1.0,13.0,2.0,456.0,7.0
gRNA_CDK7_targ_48,CDK7,260.0,2445.0,3080.0,274.0,2345.0,11.0,13.0,4.0,798.0,251.0,3515.0,12.0
gRNA_CDK7_targ_49,CDK7,154.0,598.0,1250.0,322.0,1517.0,39.0,21.0,13.0,31.0,31.0,1827.0,87.0
gRNA_CDK7_targ_50,CDK7,1656.0,9158.0,15706.0,3064.0,10127.0,812.0,1164.0,1385.0,1585.0,2319.0,2115.0,1234.0
gRNA_CDK7_targ_51,CDK7,2099.0,2745.0,10984.0,2166.0,6121.0,970.0,528.0,351.0,1668.0,69.0,11224.0,6064.0
gRNA_CDK7_targ_52,CDK7,378.0,1577.0,9716.0,2280.0,2917.0,306.0,773.0,334.0,1024.0,3477.0,11717.0,388.0
gRNA_CDK7_targ_53,CDK7,232.0,122.0,3674.0,61.0,842.0,83.0,24.0,2.0,44.0,6.0,47.0,148.0
gRNA_CDK7_targ_54,CDK7,587.0,1777.0,2050.0,4800.0,5982.0,168.0,257.0,42.0,765.0,226.0,79.0,2617.0
gRNA_CDK7_targ_55,CDK7,3372.0,5493.0,13545.0,4404.0,9998.0,753.0,418.0,2020.0,4505.0,461.0,8073.0,1403.0
gRNA_CDK7_targ_56,CDK7,1915.0,5864.0,12624.0,3262.0,8242.0,2487.0,932.0,683.0,788.0,1482.0,17778.0,234.0
gRNA_CDK7_targ_57,CDK7,4122.0,6785.0,13845.0,4770.0,6846.0,2329.0,1130.0,1471.0,811.0,3074.0,4942.0,540.0
gRNA_CDK7_targ_58,CDK7,2682.0,1742.0,7192.0,1812.0,3387.0,896.0,37.0,459.0,1048.0,137.0,1739.0,3216.0
gRNA_CDK7_targ_59,CDK7,3914.0,7028.0,11661.0,6668.0,13452.0,2046.0,1624.0,2253.0,1440.0,13316.0,3680.0,3508.0
gRNA_CDK7_targ_60,CDK7,1491.0,4673.0,6141.0,594.0,5228.0,4603.0,158.0,2809.0,505.0,60.0,7091.0,78.0
gRNA_CDK7_targ_61,CDK7,1493.0,3528.0,14272.0,7675.0,2697.0,833.0,1384.0,90.0,4914.0,263.0,1702.0,40.0
gRNA_CDK7_targ_62,CDK7,937.0,2346.0,5479.0,723.0,3049.0,6394.0,854.0,239.0,445.0,62.0,4623.0,1556.0
gRNA_CDK7_targ_63,CDK7,954.0,1170.0,8582.0,1019.0,3924.0,344.0,857.0,296.0,527.0,184.0,17936.0,197.0
gRNA_CDK7_targ_64,CDK7,1117.0,1804.0,2691.0,1431.0,4340.0,1604.0,51.0,1216.0,405.0,70.0,5649.0,546.0
gRNA_CDK7_targ_65,CDK7,140.0,9308.0,983.0,314.0,1357.0,85.0,125.0,97.0,47.0,39.0,222.0,4114.0
gRNA_CDK7_targ_66,CDK7,8178.0,2621.0,6457.0,1637.0,1470.0,1749.0,58.0,542.0,562.0,68.0,6416.0,1282.0
gRNA_CDK7_targ_67,CDK7,2782.0,4760.0,3254.0,1736.0,3522.0,297.0,2851.0,101.0,1507.0,84.0,2568.0,7162.0
gRNA_CDK7_targ_68,CDK7,3940.0,1495.0,10529.0,3780.0,3308.0,591.0,402.0,144.0,169.0,2079.0,14833.0,2310.0
gRNA_CDK7_targ_69,CDK7,1102.0,2359.0,3776.0,1326.0,1596.0,930.0,179.0,1336.0,76.0,526.0,2280.0,103.0
gRNA_CDK7_targ_70,CDK7,3640.0,4647.0,9172.0,1809.0,7595.0,2595.0,6438.0,782.0,2041.0,305.0,4954.0,386.0
gRNA_CDK7_targ_71,CDK7,772.0,3391.0,5069.0,1250.0,3616.0,586.0,178.0,378.0,1046.0,22.0,1430.0,568.0
gRNA_CDK7_targ_72,CDK7,980.0,2626.0,5976.0,2475.0,1163.0,762.0,2211.0,396.0,207.0,4732.0,513.0,1067.0
gRNA_CDK7_targ_73,CDK7,694.0,2149.0,13028.0,2387.0,4648.0,1116.0,594.0,5819.0,1734.0,6812.0,3619.0,1646.0
gRNA_CDK7_targ_74,CDK7,71.0,187.0,696.0,170.0,16.0,824.0,35.0,13.0,106.0,14.0,3233.0,124.0
gRNA_CDK7_targ_75,CDK7,865.0,1795.0,7385.0,563.0,4168.0,938.0,139.0,81.0,2370.0,54.0,3530.0,634.0
gRNA_CDK7_targ_76,CDK7,802.0,10198.0,6811.0,1498.0,4213.0,1080.0,365.0,455.0,989.0,477.0,16157.0,1535.0
gRNA_CDK7_targ_77,CDK7,2593.0,1455.0,5803.0,4557.0,2033.0,1081.0,29.0,427.0,1293.0,1796.0,5330.0,805.0
gRNA_CDK7_targ_78,CDK7,6843.0,3003.0,16474.0,14170.0,6083.0,7456.0,1920.0,1121.0,3976.0,2145.0,15903.0,3101.0
gRNA_CDK7_targ_79,CDK7,9054.0,20268.0,24254.0,20844.0,36677.0,13989.0,15674.0,2642.0,13723.0,21437.0,54723.0,12729.0
gRNA_CDK7_targ_80,CDK7,3475.0,7376.0,20186.0,4175.0,11992.0,5064.0,1656.0,3364.0,1194.0,1785.0,11659.0,29835.0
gRNA_CDK7_targ_81,CDK7,3385.0,11850.0,17335.0,11225.0,17883.0,5978.0,7296.0,7346.0,4593.0,8357.0,22717.0,6967.0
gRNA_CDK7_targ_82,CDK7,2989.0,4679.0,8558.0,3967.0,13820.0,1994.0,2649.0,2281.0,1606.0,6482.0,12180.0,355.0
gRNA_CDK7_targ_83,CDK7,3504.0,5481.0,13283.0,4254.0,10172.0,3585.0,410.0,1570.0,2339.0,2728.0,19161.0,4579.0
gRNA_CDK7_targ_84,CDK7,3691.0,4694.0,4794.0,3160.0,2373.0,801.0,143.0,358.0,205.0,61.0,3245.0,728.0
gRNA_CDK7_targ_85,CDK7,1563.0,1546.0,4353.0,2054.0,5175.0,805.0,754.0,624.0,1341.0,200.0,22224.0,380.0
gRNA_CDK7_targ_86,CDK7,393.0,856.0,5020.0,1088.0,590.0,328.0,294.0,248.0,16.0,2601.0,9793.0,826.0
gRNA_CDK7_targ_87,CDK7,3741.0,6347.0,13588.0,2655.0,10966.0,1461.0,8770.0,991.0,2344.0,1585.0,21666.0,3573.0
gRNA_CDK7_targ_88,CDK7,1471.0,3284.0,6687.0,6786.0,4942.0,9133.0,205.0,105.0,317.0,325.0,2176.0,538.0
gRNA_CDK7_targ_89,CDK7,1749.0,8382.0,13950.0,2789.0,3248.0,1278.0,68.0,364.0,770.0,91.0,6765.0,230.0
gRNA_CDK7_targ_90,CDK7,284.0,3105.0,7261.0,2915.0,1915.0,276.0,50.0,29.0,538.0,30.0,2914.0,851.0
gRNA_CDK7_targ_91,CDK7,6167.0,2676.0,2524.0,45.0,1703.0,5955.0,90.0,264.0,54.0,106.0,220.0,14.0
gRNA_CDK7_targ_92,CDK7,20106.0,14207.0,23539.0,5763.0,11870.0,7069.0,584.0,8275.0,12643.0,660.0,25113.0,4583.0
gRNA_CDK7_targ_93,CDK7,3594.0,7403.0,7108.0,3173.0,9812.0,2306.0,251.0,1062.0,1011.0,65.0,4485.0,1388.0
gRNA_CDK7_targ_94,CDK7,1978.0,4433.0,7045.0,2056.0,7010.0,1501.0,313.0,63.0,651.0,2103.0,2726.0,1833.0
gRNA_CDK7_targ_95,CDK7,13542.0,15267.0,27900.0,8159.0,23320.0,13912.0,3711.0,39023.0,7466.0,19810.0,36594.0,15197.0
gRNA_CDK7_targ_96,CDK7,2934.0,5878.0,9080.0,1668.0,5058.0,731.0,1347.0,634.0,105.0,490.0,11868.0,79.0
gRNA_CDK7_targ_97,CDK7,4912.0,8515.0,13321.0,1676.0,8436.0,3413.0,566.0,1422.0,5856.0,149.0,9074.0,632.0
gRNA_CDK7_targ_98,CDK7,5264.0,10217.0,10826.0,5147.0,5195.0,919.0,1226.0,248.0,1057.0,575.0,4568.0,155.0
gRNA_CDK7_targ_99,CDK7,6030.0,7455.0,17226.0,5927.0,12016.0,3023.0,1061.0,4568.0,4336.0,320.0,21282.0,6208.0
gRNA_CDK7_targ_100,CDK7,3678.0,7902.0,19153.0,5835.0,10309.0,4574.0,1010.0,1613.0,5836.0,3201.0,13316.0,3673.0
gRNA_CDK7_targ_101,CDK7,6764.0,9446.0,15227.0,4351.0,16581.0,4714.0,1381.0,3227.0,3220.0,5903.0,7296.0,272.0
gRNA_CDK7_targ_102,CDK7,2267.0,8987.0,9698.0,3215.0,9207.0,1856.0,1773.0,3553.0,3470.0,1302.0,19755.0,3154.0
gRNA_CDK7_targ_103,CDK7,3920.0,9502.0,17168.0,5896.0,6180.0,3747.0,1663.0,2819.0,3476.0,9230.0,37431.0,529.0
gRNA_CDK7_targ_104,CDK7,10740.0,12784.0,25582.0,8870.0,19561.0,6934.0,863.0,2799.0,9638.0,2580.0,27879.0,8211.0
gRNA_CDK7_targ_105,CDK7,9323.0,11331.0,21951.0,10425.0,9562.0,5313.0,1952.0,1424.0,4356.0,350.0,8712.0,609.0
gRNA_CDK7_targ_106,CDK7,7710.0,14886.0,27997.0,11624.0,32489.0,4569.0,2387.0,4380.0,5431.0,4026.0,41180.0,3534.0
gRNA_CDK7_targ_107,CDK7,4445.0,11548.0,14829.0,5743.0,7385.0,2826.0,1908.0,1344.0,3660.0,2903.0,13154.0,6915.0
gRNA_CDK7_targ_108,CDK7,3285.0,4662.0,13522.0,6989.0,7706.0,6738.0,1026.0,714.0,890.0,76.0,29802.0,1021.0
gRNA_CDK7_targ_109,CDK7,2332.0,6489.0,5846.0,2113.0,12686.0,4830.0,91.0,621.0,1901.0,46.0,2756.0,721.0
gRNA_CDK7_targ_110,CDK7,3496.0,8891.0,17480.0,5393.0,13876.0,2257.0,853.0,1884.0,3576.0,2686.0,15011.0,6781.0
gRNA_CDK7_targ_111,CDK7,5299.0,15777.0,26316.0,8627.0,22633.0,7261.0,4708.0,4947.0,2252.0,4908.0,12636.0,2824.0
gRNA_CDK7_targ_112,CDK7,7811.0,17380.0,30008.0,15107.0,15816.0,5442.0,2633.0,4849.0,4323.0,33238.0,23901.0,1176.0
gRNA_CDK7_targ_113,CDK7,3654.0,3656.0,10170.0,2064.0,6670.0,3031.0,7618.0,770.0,423.0,1611.0,4494.0,162.0
gRNA_CDK7_targ_114,CDK7,4730.0,10419.0,11616.0,9177.0,7982.0,4886.0,600.0,5722.0,431.0,1606.0,11575.0,3885.0
gRNA_CDK7_targ_115,CDK7,1330.0,2753.0,8969.0,990.0,11004.0,1196.0,277.0,1549.0,552.0,2029.0,6812.0,397.0
gRNA_CDK7_targ_116,CDK7,5681.0,9244.0,22204.0,8956.0,14120.0,5162.0,2771.0,8767.0,5070.0,13473.0,2863.0,11346.0
gRNA_CDK7_targ_117,CDK7,1853.0,4034.0,13870.0,1821.0,4745.0,2369.0,224.0,4354.0,1389.0,74.0,12554.0,1689.0
gRNA_CDK7_targ_118,CDK7,587.0,1651.0,4555.0,1078.0,12637.0,489.0,1672.0,86.0,1336.0,326.0,6394.0,200.0
gRNA_CDK7_targ_119,CDK7,3932.0,2825.0,7136.0,1842.0,10670.0,5367.0,1562.0,962.0,2816.0,9377.0,2288.0,1677.0
gRNA_CDK7_targ_120,CDK7,3873.0,8504.0,10389.0,3953.0,15221.0,6212.0,1727.0,1222.0,4075.0,19965.0,13704.0,11115.0
gRNA_CDK7_targ_121,CDK7,5789.0,8638.0,10625.0,11445.0,7066.0,2003.0,3879.0,8152.0,3676.0,4267.0,21700.0,8846.0
gRNA_CDK7_targ_122,CDK7,8112.0,8939.0,24388.0,12798.0,9213.0,10418.0,1795.0,4432.0,8133.0,1979.0,39513.0,14860.0
gRNA_CDK7_targ_123,CDK7,5471.0,8414.0,13068.0,9282.0,6623.0,8549.0,2453.0,1010.0,977.0,799.0,4048.0,941.0
gRNA_CDK7_targ_124,CDK7,5994.0,8484.0,32997.0,9624.0,13902.0,5604.0,1832.0,5487.0,3296.0,2038.0,9863.0,6773.0
gRNA_CDK7_targ_125,CDK7,6847.0,19302.0,30779.0,10300.0,14100.0,14552.0,4186.0,2528.0,7616.0,4715.0,15548.0,16583.0
gRNA_CDK7_targ_126,CDK7,10958.0,16477.0,22386.0,9128.0,13083.0,9613.0,5694.0,4502.0,25028.0,26056.0,8380.0,6702.0
gRNA_CDK7_targ_127,CDK7,8648.0,9329.0,11795.0,2413.0,11301.0,6235.0,6114.0,2693.0,4114.0,3379.0,3560.0,11438.0
gRNA_CDK7_targ_128,CDK7,5456.0,11411.0,25715.0,6662.0,16812.0,6775.0,3285.0,1903.0,2896.0,3675.0,9091.0,9256.0
gRNA_CDK7_targ_129,CDK7,2776.0,3943.0,8633.0,2611.0,6916.0,13163.0,778.0,542.0,3310.0,344.0,8552.0,3480.0
gRNA_CDK7_targ_130,CDK7,4467.0,7532.0,9947.0,5616.0,5856.0,4608.0,1299.0,3786.0,1760.0,21289.0,11198.0,6068.0
gRNA_CDK7_targ_131,CDK7,6912.0,10419.0,19169.0,6773.0,19691.0,5070.0,7146.0,5229.0,14638.0,873.0,19263.0,23484.0
gRNA_CDK7_targ_132,CDK7,11115.0,6457.0,17988.0,10774.0,6403.0,4292.0,1004.0,5037.0,4128.0,1601.0,12472.0,21434.0
gRNA_CDK7_targ_133,CDK7,6021.0,13180.0,11335.0,8421.0,8804.0,8386.0,4124.0,1953.0,19815.0,9228.0,15060.0,4509.0
gRNA_CDK7_targ_134,CDK7,14220.0,17281.0,33114.0,15677.0,20254.0,18536.0,4879.0,9694.0,8102.0,11152.0,30187.0,3123.0
gRNA_CDK7_targ_135,CDK7,14443.0,30025.0,22001.0,18088.0,24498.0,16336.0,13643.0,18015.0,10407.0,19826.0,53183.0,40167.0
gRNA_CDK7_targ_136,CDK7,14683.0,9412.0,18155.0,11063.0,9395.0,4960.0,2563.0,4133.0,5801.0,6469.0,16514.0,6442.0
gRNA_CDK7_targ_137,CDK7,10246.0,11293.0,19033.0,10606.0,7746.0,9405.0,5742.0,3234.0,6603.0,12096.0,12268.0,5402.0
gRNA_CDK7_targ_138,CDK7,3032.0,4315.0,12031.0,4540.0,6299.0,6590.0,1673.0,5505.0,6289.0,12090.0,22534.0,5074.0
gRNA_CDK7_targ_139,CDK7,3555.0,2218.0,8139.0,4319.0,5516.0,1505.0,174.0,834.0,2538.0,536.0,10160.0,5740.0
gRNA_CDK7_targ_140,CDK7,2326.0,3435.0,8783.0,4103.0,1738.0,881.0,5125.0,1810.0,2017.0,245.0,10046.0,1709.0
gRNA_CDK7_targ_141,CDK7,3712.0,4633.0,8487.0,7036.0,8060.0,1669.0,3042.0,3420.0,4751.0,5753.0,8096.0,3286.0
gRNA_CDK7_targ_142,CDK7,9203.0,19799.0,16942.0,5758.0,5021.0,4038.0,3268.0,3283.0,12698.0,8270.0,13061.0,3001.0
gRNA_CDK7_targ_143,CDK7,6931.0,8209.0,17891.0,7854.0,13315.0,6686.0,2589.0,2452.0,2803.0,844.0,6260.0,5150.0
gRNA_CDK7_targ_144,CDK7,14229.0,6352.0,11712.0,5014.0,6998.0,1054.0,8681.0,800.0,3417.0,322.0,8320.0,2514.0
gRNA_CDK7_targ_145,CDK7,7542.0,7562.0,19369.0,8804.0,10070.0,5921.0,6770.0,4595.0,3434.0,2555.0,5834.0,14317.0
gRNA_CDK7_targ_146,CDK7,2653.0,2053.0,4120.0,2616.0,4745.0,1444.0,187.0,223.0,547.0,20.0,743.0,192.0
gRNA_CDK7_targ_147,CDK7,3655.0,8171.0,13616.0,4119.0,5340.0,1467.0,774.0,93.0,2143.0,1470.0,15239.0,1267.0
gRNA_CDK7_targ_148,CDK7,1706.0,2891.0,3511.0,1040.0,2148.0,1084.0,36.0,609.0,366.0,7.0,11066.0,304.0
gRNA_CDK7_targ_149,CDK7,1746.0,1069.0,4130.0,1272.0,2152.0,979.0,1480.0,160.0,11.0,47.0,1238.0,798.0
gRNA_CDK7_targ_150,CDK7,14406.0,15811.0,23834.0,9740.0,17737.0,4209.0,5383.0,1827.0,2096.0,1867.0,11193.0,2303.0
gRNA_CDK7_targ_151,CDK7,3195.0,2042.0,8873.0,5121.0,7210.0,1444.0,3764.0,222.0,1896.0,500.0,4092.0,3270.0
gRNA_CDK7_targ_152,CDK7,1496.0,2862.0,10212.0,8616.0,3475.0,815.0,109.0,820.0,7625.0,153.0,16261.0,906.0
gRNA_CDK7_targ_153,CDK7,9304.0,12457.0,20713.0,6338.0,11812.0,2892.0,754.0,2830.0,981.0,1131.0,35678.0,847.0
gRNA_CDK7_targ_154,CDK7,3079.0,3240.0,5756.0,1272.0,6038.0,1820.0,479.0,834.0,1107.0,3493.0,16625.0,377.0
gRNA_CDK7_targ_155,CDK7,10461.0,28316.0,36927.0,12091.0,13961.0,5361.0,2732.0,7655.0,6479.0,13774.0,162095.0,14368.0
gRNA_CDK7_targ_156,CDK7,3956.0,7027.0,17729.0,5522.0,6930.0,1086.0,1203.0,1594.0,1021.0,749.0,9804.0,4602.0
gRNA_CDK7_targ_157,CDK7,5831.0,8558.0,14609.0,6921.0,8160.0,1340.0,948.0,1517.0,3265.0,3797.0,4625.0,492.0
gRNA_CDK7_targ_158,CDK7,4810.0,11677.0,21075.0,6531.0,15468.0,3692.0,1681.0,2535.0,2911.0,533.0,27834.0,4659.0
gRNA_CDK7_targ_159,CDK7,3377.0,2013.0,5058.0,5384.0,4720.0,1786.0,293.0,1380.0,1689.0,2083.0,2599.0,712.0
gRNA_CDK7_targ_160,CDK7,2704.0,5442.0,11071.0,3935.0,2982.0,1441.0,809.0,2400.0,1705.0,116.0,3829.0,2491.0
gRNA_CDK7_targ_161,CDK7,12701.0,23125.0,20798.0,11421.0,17368.0,5193.0,7473.0,5316.0,8269.0,17151.0,20424.0,42411.0
gRNA_CDK7_targ_162,CDK7,9182.0,8606.0,21498.0,6499.0,12757.0,9155.0,558.0,559.0,2511.0,493.0,6343.0,4205.0
gRNA_CDK7_targ_163,CDK7,2044.0,2722.0,6574.0,5454.0,5421.0,5192.0,229.0,2930.0,798.0,24.0,7699.0,733.0
gRNA_CDK7_targ_164,CDK7,5441.0,7226.0,14513.0,10892.0,9025.0,4794.0,1530.0,3943.0,1979.0,5579.0,92516.0,20903.0
gRNA_CDK7_targ_165,CDK7,14586.0,35641.0,45357.0,24928.0,45781.0,21473.0,11907.0,26331.0,24212.0,17286.0,72927.0,40390.0
gRNA_CDK7_targ_166,CDK7,13826.0,16844.0,27381.0,13039.0,32030.0,15012.0,5676.0,17424.0,12733.0,6397.0,40694.0,4419.0
gRNA_CDK7_targ_167,CDK7,18159.0,21380.0,41041.0,22581.0,48703.0,22836.0,12399.0,5469.0,18801.0,21597.0,16318.0,78373.0
gRNA_CDK7_targ_168,CDK7,18686.0,17901.0,41010.0,17931.0,45627.0,21919.0,12973.0,12621.0,20942.0,37187.0,47272.0,7581.0
gRNA_CDK7_targ_169,CDK7,2547.0,5871.0,7761.0,4001.0,3391.0,1881.0,3803.0,4842.0,5962.0,1998.0,1202.0,5724.0
gRNA_CDK7_targ_170,CDK7,5105.0,7311.0,22329.0,11550.0,21038.0,10835.0,3181.0,4604.0,4539.0,4568.0,37157.0,10636.0
gRNA_CDK7_targ_171,CDK7,664.0,455.0,3703.0,164.0,739.0,25.0,27.0,24.0,183.0,10.0,191.0,234.0
gRNA_CDK7_targ_172,CDK7,1038.0,10389.0,4054.0,1453.0,4516.0,354.0,128.0,196.0,303.0,2303.0,1400.0,117.0
gRNA_CDK7_targ_173,CDK7,5341.0,7942.0,13905.0,5473.0,12159.0,4583.0,831.0,936.0,2465.0,14585.0,6482.0,5726.0
gRNA_CDK7_targ_174,CDK7,8701.0,4260.0,13047.0,4467.0,17070.0,9557.0,8759.0,1221.0,3213.0,1969.0,5868.0,28872.0
gRNA_CDK7_targ_175,CDK7,1802.0,2718.0,9117.0,2631.0,6951.0,2573.0,165.0,1876.0,4410.0,85.0,11975.0,10377.0
gRNA_CDK7_targ_176,CDK7,1879.0,4246.0,5415.0,2613.0,6891.0,1367.0,330.0,43.0,524.0,3775.0,4187.0,830.0
